GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fritter,jp.cafebabe.fritter.validators,ValidatorsBuilder,0,125,0,0,0,11,0,8,0,8
fritter,jp.cafebabe.fritter.validators,ViolationsMerger,25,32,1,1,3,7,2,4,1,4
fritter,jp.cafebabe.fritter.validators,Validator,0,8,0,0,0,1,0,1,0,1
fritter,jp.cafebabe.fritter.validators,ValidatorBuilder,2,39,0,0,0,8,1,6,1,6
fritter,jp.cafebabe.fritter.validators,AbstractValidator,0,19,0,0,0,7,0,4,0,4
fritter,jp.cafebabe.fritter.validators,Validators,13,34,0,0,4,8,4,4,4,4
fritter,jp.cafebabe.fritter.validators,ViolationsMerger.Visitor,5,18,0,2,2,6,1,4,1,3
fritter,jp.cafebabe.fritter.validators,Violations,59,52,4,0,13,14,11,7,9,7
fritter,jp.cafebabe.fritter.validators,Violation,0,21,0,0,0,6,0,2,0,2
fritter,jp.cafebabe.fritter.validators,ValidateException,8,0,0,0,4,0,2,0,2,0
fritter,jp.cafebabe.fritter.validators.impl.nort,NoReturnCodeInPrintfValidatorService,0,16,0,0,0,4,0,3,0,3
fritter,jp.cafebabe.fritter.validators.impl.nort,NoReturnCodeInPrintfVisitor.State,0,24,0,0,0,3,0,1,0,1
fritter,jp.cafebabe.fritter.validators.impl.nort,NoReturnCodeInPrintfVisitor,0,66,0,6,0,16,0,10,0,7
fritter,jp.cafebabe.fritter.validators.impl.smallentities,JavaSourceCount,0,4,0,0,0,2,0,1,0,1
fritter,jp.cafebabe.fritter.validators.impl.smallentities,LinesOfMethodVisitor,0,21,0,0,0,5,0,3,0,3
fritter,jp.cafebabe.fritter.validators.impl.smallentities,LinesOfClassValidatorService,0,16,0,0,0,4,0,3,0,3
fritter,jp.cafebabe.fritter.validators.impl.smallentities,ClassCountInPackageValidatorService,0,10,0,0,0,3,0,2,0,2
fritter,jp.cafebabe.fritter.validators.impl.smallentities,LinesOfCode,0,13,0,0,0,4,0,3,0,3
fritter,jp.cafebabe.fritter.validators.impl.smallentities,LinesOfClassVisitor,34,21,0,0,6,5,4,3,4,3
fritter,jp.cafebabe.fritter.validators.impl.smallentities,LinesOfMethodValidatorService,0,16,0,0,0,4,0,3,0,3
fritter,jp.cafebabe.fritter.validators.impl.smallentities,LinesOfCodeVisitor,0,43,0,2,0,8,0,4,0,3
fritter,jp.cafebabe.fritter.validators.impl.smallentities,DirectoryUtils,3,35,0,0,1,10,1,5,1,5
fritter,jp.cafebabe.fritter.validators.impl.smallentities,ClassCountInPackageValidator,40,75,1,3,4,14,2,7,1,6
fritter,jp.cafebabe.fritter.cli,VersionProvider,10,0,0,0,2,0,2,0,2,0
fritter,jp.cafebabe.fritter.cli,Main,69,0,0,0,16,0,9,0,9,0
